evaluation_index,action,current_strategy,candidate_strategy,reason,utility_current,utility_candidate,lcb_current,lcb_candidate,switched,reason_code,decision_margin,decision_threshold,is_fallback
0,stay,fixed_low,fixed_mid,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.02,True
1,stay,fixed_low,fixed_mid,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.02,True
2,stay,fixed_low,fixed_mid,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.02,True
3,stay,fixed_low,fixed_mid,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.02,True
4,switch,fixed_low,fixed_mid,Switch because candidate LCB exceeds current LCB beyond the decision threshold: 1.0902 - 1.0313 = 0.0589 > 0.0200.,1.0349391714642058,1.0939685763569555,1.0312554309696222,1.0902048893044525,True,switch_advantage,0.05894945833483023,0.02,False
5,stay,fixed_mid,adaptive_meta_final,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0078, threshold=0.0200.",1.1024003162068188,1.09465385545057,1.1019597917670783,1.0941359589498627,False,no_candidate_improvement,-0.007823832817215548,0.02,False
6,stay,fixed_mid,adaptive_meta_final,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0076, threshold=0.0200.",1.1031550909402996,1.0955407133426776,1.103095206527884,1.0954733883001373,False,no_candidate_improvement,-0.007621818227746768,0.02,False
7,stay,fixed_mid,adaptive_meta_final,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0076, threshold=0.0200.",1.10329484074737,1.0956934216359973,1.1032663488831922,1.0956646527730134,False,no_candidate_improvement,-0.007601696110178802,0.02,False
8,stay,fixed_mid,adaptive_meta_final,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0076, threshold=0.0200.",1.1033649784195525,1.09576483837924,1.1033235276734377,1.0957233718959405,False,no_candidate_improvement,-0.007600155777497175,0.02,False
9,stay,fixed_mid,adaptive_meta_final,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0076, threshold=0.0200.",1.1035065305737624,1.0959065167561017,1.1034175247260856,1.0958175066883078,False,no_candidate_improvement,-0.007600018037777767,0.02,False
10,stay,fixed_mid,adaptive_meta_final,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0076, threshold=0.0200.",1.1037069637557193,1.0961069623917736,1.1036012569047386,1.0960012550496887,False,no_candidate_improvement,-0.007600001855049943,0.02,False
11,stay,fixed_mid,adaptive_meta_final,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0076, threshold=0.0200.",1.1037911624509664,1.0961911623163199,1.103707544315114,1.0961075441353367,False,no_candidate_improvement,-0.007600000179777355,0.02,False
12,stay,fixed_mid,adaptive_meta_final,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0076, threshold=0.0200.",1.10375192168726,1.0961519216739695,1.103652640059756,1.0960526400449135,False,no_candidate_improvement,-0.007600000014842401,0.02,False
13,stay,fixed_mid,adaptive_meta_final,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0076, threshold=0.0200.",1.10373767477756,1.0961376747762486,1.1036358005030225,1.0960358005020658,False,no_candidate_improvement,-0.007600000000956619,0.02,False
14,stay,fixed_mid,adaptive_meta_final,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0076, threshold=0.0200.",1.1036054182670307,1.0960054182669015,1.1035072247473703,1.0959072247473047,False,no_candidate_improvement,-0.007600000000065554,0.02,False
15,stay,fixed_mid,adaptive_meta_final,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0076, threshold=0.0200.",1.1032805294753079,1.095680529475295,1.103166561039822,1.0955665610398129,False,no_candidate_improvement,-0.007600000000009155,0.02,False
